id,created_by,created_date,modified_by,modified_date,ba_desc_arabic,ba_desc_english,bl_local_no,business_name_arabic,business_name_english,cbls_no,city,company_id,domain_presence_score,domain_vintage,economic_department,elastic_search_sync_status,email,est_date,expiry_date,expiry_date_in_date_format,full_address,gmap_full_address,gmap_international_phone_no,gmap_location,gmap_name,gmap_phone_no,gmap_photo_url,gmap_rating,gmap_trigger_date,gmap_types,gmap_website_url,gsearch_email,gsearch_full_address,gsearch_mobile_no,gsearch_phone_no,gsearch_trigger_date,gsearch_website_url,integration_gmap_flag,integration_gsearch_flag,integration_wayback_flag,integration_zgis_flag,is_already_updated_place,is_already_updated_wayback_archive,is_branch,legal_type,mobile_no,nationality,parent_bl_no,phone_no,po_box,registration_ed_branch,status,visa_allocation_quota,visa_approved,visa_cancelled,visa_requested,visa_used,wayback_trigger_date,website_address,website_url,wps,zgis_categories,zgis_full_address,zgis_landmarks,zgis_location,zgis_name,zgis_phone_no,zgis_photo_url,zgis_po_box,zgis_rating,zgis_schedule,zgis_social_urls,zgis_trigger_date,zgis_website_url
d242158f-3dac-4b54-a970-12e4c7dac5f9,System,2024-03-24 01:44:12.823000,System,2024-03-25 19:31:32.256766,": تجارة المنسوجات والاقمشة,",": Textile Trading,",675165,عبدالله ضوينا لتجارة المنسوجات ذ.م.م,ABDALLA DAWIENA TEXTILE TRADING L.L.C,10884887,Dubai,761388,,,Dubai Department of Economy & Tourism,White,,2012-08-15,2021-08-14,2021-08-14 00:00:00.000000,Deira Port Saeed,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Limited Liability Company,,EMIRATES,,,,Dubai Department of Economic Development,Expired,,1,0,1,1,2023-12-26 13:55:43.718526,,,PRIVATE,,,,,,,,,,,,2023-12-26 13:55:44.013901,
ffffd21b-6829-421f-ae81-e93dded8045b,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:25:31.125283,"خدمات شبكات تقنية المعلومات,","Information Technology Network Services,",1160149,الصباح الخير لخدمات شبكات تقنية المعلومات,ALSBAH ALKHAIR FOR INFORMATION TECHNOLOGY NETWORK SERVICES,12026834,,1674802,,,Dubai Department of Economy & Tourism,White,Shoukatmhmd@gmail.com,2023-03-02,2024-03-01,2024-03-01 00:00:00.000000,Bur Dubai Al Fahedy,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Civil Company,,PAKISTAN,,971553233789,,Dubai Department of Economic Development,Active,,15,0,15,15,2023-12-26 13:55:43.718526,,,"*Salary stament, *Stop New Work Permit - WPS ,",,,,,,,,,,,,2023-12-26 13:55:44.013901,
ffffcb04-31c2-4d24-8cc7-e66f7fd1f3f6,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:39:03.253252,": خدمات إدارة المشاريع,",": Project Management Services,",1098598,شركة الصفقة الرابحة لخدمات إدارة المشاريع,ALSAFQA ALRABEHA PROJECT MANAGEMENT SERVICES CO.,11938598,Dubai,1490365,,,Dubai Department of Economy & Tourism,White,barakat366@gmail.com,2022-09-13,2023-09-12,2023-09-12 00:00:00.000000,Bur Dubai Al Fahedy,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Civil Company,,BANGLADESH,,00971501634518,,Dubai Department of Economic Development,Expired,,10,0,10,0,2023-12-26 13:55:43.718526,,,PRIVATE,,,,,,,,,,,,2023-12-26 13:55:44.013901,
ffffc905-2941-4cea-995b-e7486ff6d3b6,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:53:29.789478,": وسيط تمويل,",": Financing Broker,",998720,الصفاء وسيط تمويل,ALSAFA FINANCING BROKER,11796405,Dubai,1303550,,,Dubai Department of Economy & Tourism,White,,2021-12-16,2023-12-15,2023-12-15 00:00:00.000000,Deira Port Saeed,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Single Person Company,,EMIRATES,,,,Dubai Department of Economic Development,Expired,,17,0,33,17,2023-12-26 13:55:43.718526,,,PRIVATE,,,,,,,,,,,,2023-12-26 13:55:44.013901,
ffff605a-4a36-41c2-aa77-fea8cea84bb2,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:28:34.301515,"تجارة المجوهرات والمصوغات من الذهب والفضة,","Jewellery Trading,",533782,مجوهرات مجد الخطيب (فرع من مجوهرات  التاج (ش . ذ. م. م)),MAJD AL KHATIB JEWELLERY (BR OF AL TAJ JEWELLERY(L.L.C)),10808994,,470180,,,Dubai Department of Economy & Tourism,White,Sadiq.d.uae@gmail.com,2002-04-30,2024-04-29,2024-04-29 00:00:00.000000,Deira Al Deghaya,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Single Person Company,,EMIRATES,,97142265889,,Dubai Department of Economic Development,Active,,10,0,10,10,2023-12-26 13:55:43.718526,,,PRIVATE,,,,,,,,,,,,2023-12-26 13:55:44.013901,
ffff4dab-7765-49d7-9355-98d46523e1dc,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:26:25.560575,": Grains, Cereals &amp; Legumes Trading,",": Grains, Cereals &amp; Legumes Trading,",9905,ألفيا دي دبليو سي ش.ذ.م.م,Alvia DWC-LLC,11551980,,,,,Dubai South,White,,2020-06-29,2024-06-28,2024-06-28 00:00:00.000000,Business centerBuilding:A3Dubai World CentralDubai U.A.E.,,,,,,,,2024-01-10 06:49:55.804988,,,,,,,2024-01-09 20:37:33.237000,dwc-amsterdam.com,false,false,false,false,false,,No,Limited Liability Company,971505951214,,,971505951214,,IDubai SouthHC,Active,,,,,,2023-12-26 13:55:43.718526,,,,,,,,,,,,,,,2024-01-09 19:20:40.377000,
ffff29e8-65de-44d7-843d-5833dc1d1382,System,2024-03-24 01:53:26.823000,System,2024-03-25 20:13:24.135806,"الوساطة في بيع العقارات وشرائها,الوساطة في تأجير العقارات,خدمات الإشراف الإداري للعقارات,","Real Estate buying &amp; selling Brokerage,Leasing Property Brokerage Agents,Real Estate Management Supervision Services,",594814,الاصالة للوساطة العقارية,AL ASALA REALESTATE BROKER,10527419,Dubai,,,,Dubai Department of Economy & Tourism,White,,2007-05-02,2024-05-01,2024-05-01 00:00:00.000000,Deira Al Eyas,,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Establishments,,,,97145246322,,Dubai Department of Economic Development,Active,,,,,,2023-12-26 13:55:43.718526,,,,,,,,,,,,,,,2023-12-26 13:55:44.013901,
fffebe6e-d4b1-4148-a57c-9d36e809c8e0,System,2024-03-24 01:53:26.823000,System,2024-07-17 09:22:24.623672,"تجارة اجهزة الحاسب الآلي ولوازمه,استشارات اجهزة الحاسب الآلي,تصميم نظم الحاسب الآلي وأجهزة الإتصال,تجارة نظم وبرامج الحاسب الآلي وأجهزة الإتصال,تجارة مستلزمات الحاسب الآلي ومعالجة البيانات,","Computers &amp; Requisites Trading,Computer Systems Consultancies,Software House,Computer Systems &amp; Communication Equipment Software Trading,Computer &amp; Data Processing Requisites Trading,",545633,الضيافه  للنظم (ش. ذ. م. م),DEYAFA SYSTEMS,10813957,Dubai,493847,,,Dubai Department of Economy & Tourism,White,,2003-06-01,2024-05-31,2024-05-31 00:00:00.000000,Bur Dubai Al Karama,,,,,,,,2023-12-26 08:37:24.900277,,,,,,,2023-12-26 08:37:24.900277,,false,false,false,false,false,,No,Limited Liability Company,,EMIRATES,,97143240066,,Dubai Department of Economic Development,Active,0,33,0,39,29,2023-12-26 08:37:24.900277,,,"*Salary stament, *Communication Info required, *Stop New Work Permit - WPS ,",,,,,,,,,,,,2023-12-26 08:37:24.900277,
fffea428-3e11-43db-b83f-7083e65a3685,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:44:12.523050,": الأنشطة المهنية والعلمية والتقنية الأخرى غير المصنّفة في موضع آخر,",": Other professional, scientific and technical activities n.e.c.,",2668,بيه اوه جي أيه جي إيه م.م.ح/ذ.م.م,POGAGE FZE LLC,11639288,Dubai,,,,Ajman Media City Free Zone,White,swico20@gmail.com,2020-05-03,2023-05-02,2023-05-02 00:00:00.000000,"Ajman A-56-00-03-06 - Flamingo Villas, Ajman",,,,,,,,2023-12-26 13:55:41.931009,,,,,,,2023-12-26 13:55:42.231408,,false,false,false,false,false,,No,Limited Liability Company,00971508582141,,,,,Ajman Media City Free Zone,Expired,,,,,,2023-12-26 13:55:43.718526,,,,,,,,,,,,,,,2023-12-26 13:55:44.013901,
fffd2383-44d8-4324-83cf-918cebd5712f,System,2024-03-24 01:53:26.823000,System,2024-03-25 19:51:19.309939,"Not Applicable,","Workshop Hardware &amp; Tools Trading,",31508,ايه بي تي إنترناشونال - ش م ح,APT INTERNATIONAL - FZCO,12086306,,,,,Dubai Silicon Oasis,White,,2023-06-07,2024-06-06,2024-06-06 00:00:00.000000,DSO,,,,,,,,2023-12-26 08:37:29.240853,,,,,,,2023-12-26 08:37:29.240853,,false,false,false,false,false,,No,Free Zone Company,,,,,,DSO,Active,,,,,,2023-12-26 08:37:29.240853,,,,,,,,,,,,,,,2023-12-26 08:37:29.240853,
